id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
42,20251221_020302,gaitgl_64steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12402,1.8663,0.45455,0.40827,"[0.55814, 0.26667, 0.4]",93,0.23934,1.5309,0.54545,0.43607,"[0.68, 0.16667, 0.46154]",73,COMPLETED,18.611
43,20251221_020302,gaitpart_16steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1181,1.48254,0.59091,0.48832,"[0.71111, 0.15385, 0.6]",524,0.68681,1.13904,0.61364,0.60597,"[0.54545, 0.58824, 0.68421]",131,COMPLETED,63.628
44,20251221_020302,gaitset_62steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12744,2.37366,0.43182,0.37107,"[0.53659, 0.125, 0.45161]",351,0.65567,1.2065,0.52273,0.49485,"[0.61905, 0.42105, 0.44444]",153,COMPLETED,67.671
45,20251221_020302,gln_93steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13211,2.15348,0.38636,0.33922,"[0.51429, 0.125, 0.37838]",333,0.17504,1.96496,0.47727,0.45926,"[0.6, 0.44444, 0.33333]",328,COMPLETED,83.961

46,20251221_020302,baseline_31steps_concat.csv,Preset_10,Transformer,42,"[512, 512, 512, 512, 512]",16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12025,2.51529,0.5,0.41987,"[0.57778, 0.18182, 0.5]",691,0.1911,2.41082,0.52273,0.48468,"[0.5641, 0.36364, 0.52632]",598,COMPLETED,311.345
47,20251221_020302,gaitgl_64steps_concat.csv,Preset_10,Transformer,42,"[512, 512, 512, 512, 512]",16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10758,2.76912,0.43182,0.37593,"[0.55, 0.11111, 0.46667]",420,0.67751,2.2066,0.54545,0.45906,"[0.57895, 0.16667, 0.63158]",395,COMPLETED,254.963
48,20251221_020302,gaitpart_16steps_concat.csv,Preset_10,Transformer,42,"[512, 512, 512, 512, 512]",16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10675,1.08538,0.47727,0.21538,"[0.64615, 0.0, 0.0]",173,1.10675,1.08538,0.47727,0.21538,"[0.64615, 0.0, 0.0]",173,STOPPED,72.295
49,20251221_020302,gaitset_62steps_concat.csv,Preset_10,Transformer,42,"[512, 512, 512, 512, 512]",16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.37101,1.8474,0.34091,0.32568,"[0.16, 0.38462, 0.43243]",647,0.43276,1.90258,0.45455,0.45456,"[0.41379, 0.47619, 0.47368]",608,STOPPED,376.973
50,20251221_020302,gln_93steps_concat.csv,Preset_10,Transformer,42,"[512, 512, 512, 512, 512]",16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.41694,2.8232,0.25,0.20391,"[0.38095, 0.0, 0.23077]",608,0.42358,2.20517,0.5,0.47225,"[0.57895, 0.35294, 0.48485]",394,STOPPED,508.692

51,20251221_020302,baseline_31steps_concat.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12108,3.21057,0.34091,0.3041,"[0.34146, 0.13333, 0.4375]",232,0.73996,1.27866,0.52273,0.48373,"[0.55814, 0.36364, 0.52941]",90,COMPLETED,104.933
52,20251221_020302,gaitgl_64steps_concat.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12675,2.09004,0.54545,0.536,"[0.53659, 0.5, 0.57143]",48,0.12675,2.09004,0.54545,0.536,"[0.53659, 0.5, 0.57143]",48,COMPLETED,32.293
53,20251221_020302,gaitpart_16steps_concat.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.46503,2.02159,0.56818,0.4401,"[0.7037, 0.18182, 0.43478]",510,0.65906,1.41194,0.65909,0.5814,"[0.74419, 0.26667, 0.73333]",472,STOPPED,210.346
54,20251221_020302,gaitset_62steps_concat.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11414,2.40108,0.47727,0.37333,"[0.66667, 0.13333, 0.32]",232,0.13355,2.05686,0.54545,0.44982,"[0.66667, 0.16667, 0.51613]",222,COMPLETED,149.289
55,20251221_020302,gln_93steps_concat.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11683,2.29047,0.45455,0.32411,"[0.6087, 0.0, 0.36364]",200,0.39511,2.20311,0.54545,0.45745,"[0.65, 0.18182, 0.54054]",113,COMPLETED,166.797

56,20251221_020302,baseline_31steps_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.61237,2.03984,0.40909,0.38653,"[0.33333, 0.28571, 0.54054]",958,0.54245,2.06531,0.54545,0.50999,"[0.63158, 0.35294, 0.54545]",878,STOPPED,380.712
57,20251221_020302,gaitgl_64steps_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1388,2.60829,0.45455,0.36694,"[0.63415, 0.0, 0.46667]",758,0.24907,2.36442,0.47727,0.419,"[0.6, 0.10526, 0.55172]",448,COMPLETED,426.473
58,20251221_020302,gaitpart_16steps_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.4846,1.35742,0.54545,0.49445,"[0.7027, 0.2, 0.58065]",1006,0.57994,1.30061,0.63636,0.58896,"[0.7907, 0.47619, 0.5]",875,STOPPED,356.937
59,20251221_020302,gaitset_62steps_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.47915,2.7477,0.40909,0.37915,"[0.52381, 0.25, 0.36364]",833,0.69705,1.86133,0.5,0.52476,"[0.48649, 0.6, 0.4878]",377,STOPPED,459.361
60,20251221_020302,gln_93steps_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.52651,2.54116,0.38636,0.33718,"[0.42105, 0.13333, 0.45714]",873,0.72476,1.85904,0.47727,0.44444,"[0.42857, 0.33333, 0.57143]",180,STOPPED,659.822

