id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,momentum_sgd,norm_layer,do_layer,hidden_layers,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
14,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1280,silu,0.5,Adam,0.0001,1e-07,True,0.85,,"[1, 2, 3, 4]","[1, 2]","[1280, 896, 512, 256]",80,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14194,2.10211,0.5,895,0.42311,0.51884,497,0.14908,STOPPED,33.394
15,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1280,silu,0.5,Adam,0.0001,1e-07,True,0.85,,"[1, 2, 3, 4]","[1, 2]","[1280, 896, 512, 256]",64,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.142,1.78926,0.47727,733,0.39418,0.44989,631,0.14063,STOPPED,27.358

16,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,640,relu,0.35,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[640, 448, 256]",37,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15117,0.90228,0.70455,1065,0.65909,0.7507,180,0.29393,STOPPED,39.765
17,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,640,relu,0.35,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[640, 448, 256]",38,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15063,1.76537,0.45455,1220,0.33611,0.40828,503,0.1805,STOPPED,45.525
18,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,640,relu,0.35,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[640, 448, 256]",41,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16385,1.46086,0.47727,682,0.4053,0.46703,178,0.2525,STOPPED,25.455
19,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,640,relu,0.35,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[640, 448, 256]",39,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15749,1.46703,0.52273,747,0.44108,0.47593,312,0.20022,STOPPED,27.889
20,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,640,relu,0.35,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[640, 448, 256]",30,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15456,1.37973,0.52273,1139,0.47445,0.51082,740,0.16408,STOPPED,42.525

21,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[768, 512, 256]",59,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14422,1.54599,0.56818,366,0.47672,0.54839,137,0.15978,STOPPED,13.675
22,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1431,1.72277,0.47727,503,0.35859,0.46224,73,0.23702,STOPPED,18.768
23,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1417,1.76503,0.52273,401,0.40972,0.54229,131,0.16223,STOPPED,14.954
24,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[768, 512, 256]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14231,2.14871,0.36364,514,0.31025,0.42287,363,0.14689,STOPPED,19.194
25,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[768, 512, 256]",50,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14978,2.05264,0.38636,514,0.3,0.47176,103,0.20716,STOPPED,19.191

26,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,silu,0.5,Adam,0.0002,5e-07,True,0.7,,"[1, 2]","[1, 2, 3]","[768, 512, 384, 256]",35,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15084,1.5804,0.61364,943,0.5887,0.65037,380,0.22309,STOPPED,35.188
27,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,silu,0.5,Adam,0.0002,5e-07,True,0.7,,"[1, 2]","[1, 2, 3]","[768, 512, 384, 256]",47,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14578,1.85052,0.5,1080,0.36451,0.53535,434,0.25172,STOPPED,40.299
28,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,silu,0.5,Adam,0.0002,5e-07,True,0.7,,"[1, 2]","[1, 2, 3]","[768, 512, 384, 256]",42,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14518,2.03791,0.45455,944,0.38996,0.49374,898,0.14829,STOPPED,35.244
29,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,silu,0.5,Adam,0.0002,5e-07,True,0.7,,"[1, 2]","[1, 2, 3]","[768, 512, 384, 256]",38,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1466,2.04233,0.45455,874,0.33939,0.4548,375,0.32852,STOPPED,32.618
30,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,silu,0.5,Adam,0.0002,5e-07,True,0.7,,"[1, 2]","[1, 2, 3]","[768, 512, 384, 256]",28,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15616,2.05555,0.47727,943,0.41847,0.51053,384,0.27155,STOPPED,35.207

31,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1024,leakyrelu,0.5,Adam,0.0002,1e-06,True,0.8,,"[2, 3]","[1, 2, 3]","[1024, 784, 512, 256]",58,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14401,1.7893,0.54545,590,0.40833,0.49602,277,0.15437,STOPPED,22.043
32,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1024,leakyrelu,0.5,Adam,0.0002,1e-06,True,0.8,,"[2, 3]","[1, 2, 3]","[1024, 784, 512, 256]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14635,2.32764,0.45455,670,0.37935,0.43831,599,0.14287,STOPPED,25.003
33,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1024,leakyrelu,0.5,Adam,0.0002,1e-06,True,0.8,,"[2, 3]","[1, 2, 3]","[1024, 784, 512, 256]",66,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15213,1.83123,0.52273,741,0.44091,0.49376,493,0.15928,STOPPED,27.666
34,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1024,leakyrelu,0.5,Adam,0.0002,1e-06,True,0.8,,"[2, 3]","[1, 2, 3]","[1024, 784, 512, 256]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14432,2.44441,0.36364,751,0.27652,0.35325,634,0.14588,STOPPED,28.03
35,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1024,leakyrelu,0.5,Adam,0.0002,1e-06,True,0.8,,"[2, 3]","[1, 2, 3]","[1024, 784, 512, 256]",48,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14388,2.10806,0.45455,615,0.37238,0.51754,162,0.32211,STOPPED,22.947

36,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.45,Adam,0.0002,0.0,True,0.75,,"[2, 4]","[1, 3]","[768, 512, 384, 256]",45,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1479,1.56171,0.54545,520,0.39466,0.61845,197,0.24591,STOPPED,19.396
37,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.45,Adam,0.0002,0.0,True,0.75,,"[2, 4]","[1, 3]","[768, 512, 384, 256]",59,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16462,2.13277,0.5,605,0.41667,0.47691,322,0.31466,STOPPED,22.569
38,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.45,Adam,0.0002,0.0,True,0.75,,"[2, 4]","[1, 3]","[768, 512, 384, 256]",52,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15193,1.92908,0.54545,720,0.42227,0.54569,699,0.19725,STOPPED,26.078
39,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.45,Adam,0.0002,0.0,True,0.75,,"[2, 4]","[1, 3]","[768, 512, 384, 256]",49,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15559,2.03285,0.52273,647,0.42509,0.45265,366,0.24258,STOPPED,24.154
40,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.45,Adam,0.0002,0.0,True,0.75,,"[2, 4]","[1, 3]","[768, 512, 384, 256]",37,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14563,2.36535,0.47727,653,0.34498,0.42312,634,0.1477,STOPPED,24.366

41,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[1024, 768, 512, 256]",59,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14269,1.40706,0.59091,412,0.53075,0.58838,372,0.1422,STOPPED,15.384
42,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[1024, 768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14702,1.60937,0.52273,404,0.40741,0.47856,47,0.24329,STOPPED,15.088
43,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[1024, 768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14199,1.62491,0.52273,401,0.43673,0.62037,197,0.14486,STOPPED,14.974
44,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[1024, 768, 512, 256]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14205,2.08111,0.45455,424,0.33611,0.40489,112,0.15593,STOPPED,15.833
45,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[1, 2]","[1024, 768, 512, 256]",50,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14099,2.04082,0.38636,484,0.33247,0.45812,70,0.21459,STOPPED,18.071

46,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[896, 640, 320, 192]",58,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14662,2.04046,0.52273,577,0.40093,0.49238,423,0.15784,STOPPED,21.531
47,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[896, 640, 320, 192]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14086,2.28978,0.43182,581,0.31534,0.43056,439,0.14323,STOPPED,21.672
48,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[896, 640, 320, 192]",66,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1408,1.72382,0.59091,663,0.48381,0.5266,481,0.14714,STOPPED,24.746
49,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[896, 640, 320, 192]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14251,2.47947,0.43182,514,0.30161,0.45507,215,0.18659,STOPPED,19.197
50,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[896, 640, 320, 192]",48,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15506,2.33796,0.47727,617,0.39971,0.49179,214,0.20329,STOPPED,23.036

51,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.5,Adam,0.0002,0.0,True,0.85,,"[1, 3]","[2, 4]","[768, 384, 512, 256]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14327,2.32319,0.45455,303,0.36075,0.44583,255,0.14504,STOPPED,11.293
52,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.5,Adam,0.0002,0.0,True,0.85,,"[1, 3]","[2, 4]","[768, 384, 512, 256]",93,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14332,2.42232,0.45455,351,0.3782,0.4422,202,0.15325,STOPPED,13.094
53,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.5,Adam,0.0002,0.0,True,0.85,,"[1, 3]","[2, 4]","[768, 384, 512, 256]",83,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1431,1.89631,0.54545,517,0.52863,0.57083,473,0.14549,STOPPED,17.659
54,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.5,Adam,0.0002,0.0,True,0.85,,"[1, 3]","[2, 4]","[768, 384, 512, 256]",80,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1437,2.72399,0.38636,428,0.31722,0.4225,128,0.18958,STOPPED,15.985
55,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,768,leakyrelu,0.5,Adam,0.0002,0.0,True,0.85,,"[1, 3]","[2, 4]","[768, 384, 512, 256]",64,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14349,2.53189,0.31818,351,0.22685,0.43745,66,0.23881,STOPPED,13.109

56,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[2, 3]","[2, 3]","[896, 640, 320, 192]",58,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14272,1.56126,0.56818,290,0.47601,0.52658,136,0.15084,STOPPED,10.83
57,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[2, 3]","[2, 3]","[896, 640, 320, 192]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1429,2.01452,0.45455,357,0.38546,0.46215,188,0.14908,STOPPED,13.337
58,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[2, 3]","[2, 3]","[896, 640, 320, 192]",66,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14223,1.74056,0.52273,293,0.44272,0.53283,140,0.26537,STOPPED,10.952
59,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[2, 3]","[2, 3]","[896, 640, 320, 192]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14249,2.58084,0.34091,346,0.30198,0.36849,117,0.26646,STOPPED,12.934
60,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,80,4,896,leakyrelu,0.5,Adam,0.0002,1e-07,True,0.8,,"[2, 3]","[2, 3]","[896, 640, 320, 192]",48,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14193,1.93677,0.5,312,0.45964,0.52256,130,0.15653,STOPPED,11.659

61,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0001,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[1024, 768, 512, 256]",59,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1404,1.49869,0.61364,651,0.51199,0.64165,393,0.14417,STOPPED,24.3
62,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0001,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[1024, 768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14306,1.91066,0.5,555,0.4236,0.49856,339,0.14739,STOPPED,20.71
63,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0001,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[1024, 768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14184,2.07183,0.52273,637,0.40746,0.50452,356,0.1463,STOPPED,23.774
64,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0001,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[1024, 768, 512, 256]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14146,2.18087,0.45455,611,0.32952,0.37062,334,0.14335,STOPPED,22.808
65,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,4,1024,silu,0.4,Adam,0.0001,1e-07,True,0.8,,"[1, 2, 3, 4]","[1, 2, 3]","[1024, 768, 512, 256]",50,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14242,1.96978,0.5,623,0.46124,0.49767,231,0.15769,STOPPED,23.241

66,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,896,silu,0.4,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[896, 512, 256]",37,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15635,1.00482,0.75,1083,0.72179,0.7398,344,0.19405,STOPPED,40.437
67,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,896,silu,0.4,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[896, 512, 256]",38,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1578,1.81771,0.47727,1248,0.36618,0.47385,393,0.20326,STOPPED,46.577
68,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,896,silu,0.4,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[896, 512, 256]",41,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16373,1.52776,0.45455,742,0.38989,0.50538,205,0.21716,STOPPED,27.684
69,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,896,silu,0.4,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[896, 512, 256]",39,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15888,1.37815,0.5,918,0.42088,0.49916,702,0.15951,STOPPED,34.274
70,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,896,silu,0.4,RMSprop,8e-05,5e-05,True,0.7,,"[1, 2]","[1, 2, 3]","[896, 512, 256]",30,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17081,1.64833,0.5,780,0.45466,0.50631,617,0.17832,STOPPED,29.1

71,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,leakyrelu,0.4,Adam,0.0002,5e-07,True,0.85,,"[1, 2, 3]","[1, 2]","[768, 512, 384, 256]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14827,2.05951,0.47727,467,0.34668,0.47635,131,0.16978,STOPPED,17.436
72,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,768,leakyrelu,0.4,Adam,0.0002,5e-07,True,0.85,,"[1, 2, 3]","[1, 2]","[768, 512, 384, 256]",93,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14499,2.54585,0.40909,458,0.34014,0.36806,240,0.14249,STOPPED,17.104
